books/aw/kimL89/Moss89	incollection	Object Orientation as Catalyst for Language-Database Inegration.	Object-Oriented Concepts, Databases, and Applications	1989	
books/aw/kimL89/Nierstrasz89	incollection	A Survey of Object-Oriented Concepts.	Object-Oriented Concepts, Databases, and Applications	1989	
books/aw/kimL89/NierstraszT89	incollection	Integrated Office Systems.	Object-Oriented Concepts, Databases, and Applications	1989	
books/aw/kimL89/Russinoff89	incollection	Proteus: A Frame-Based Nonmonotonic Inference System.	Object-Oriented Concepts, Databases, and Applications	1989	ACM Press and Addison-Wesley
books/aw/kimL89/SkarraZ89	incollection	Concurrency Control and Object-Oriented Databases.	Object-Oriented Concepts, Databases, and Applications	1989	
books/aw/kimL89/SteinLU89	incollection	A Shared View of Sharing: The Treaty of Orlando.	Object-Oriented Concepts, Databases, and Applications	1989	
books/aw/kimL89/TarltonT89	incollection	Pogo: A Declarative Representation System for Graphics.	Object-Oriented Concepts, Databases, and Applications	1989	
books/aw/kimL89/TomlinsonS89	incollection	Concurrent Object-Oriented Programming Languages.	Object-Oriented Concepts, Databases, and Applications	1989	
books/aw/kimL89/TsichritzisN89	incollection	Directions in Object-Oriented Research.	Object-Oriented Concepts, Databases, and Applications	1989	
books/aw/kimL89/Wand89	incollection	A Proposal for a Formal Model of Objects.	Object-Oriented Concepts, Databases, and Applications	1989	
books/aw/kimL89/WeiserL89	incollection	OZ+: An Object-Oriented Database System.	Object-Oriented Concepts, Databases, and Applications	1989	
books/aw/stonebraker86/RoweS86	incollection	The Commercial INGRES Epilogue.	The INGRES Papers	1986	
books/aw/stonebraker86/Stonebraker86	incollection	Design of Relational Systems (Introduction to Section 1).	The INGRES Papers	1986	
books/aw/stonebraker86/Stonebraker86a	incollection	Supporting Studies on Relational Systems (Introduction to Section 2).	The INGRES Papers	1986	
books/aw/stonebraker86/Stonebraker86b	incollection	Distributed Database Systems (Introduction to Section 3).	The INGRES Papers	1986	
books/aw/stonebraker86/Stonebraker86c	incollection	The Design and Implementation of Distributed INGRES.	The INGRES Papers	1986	
books/aw/stonebraker86/Stonebraker86d	incollection	User Interfaces for Database Systems (Introduction to Section 4).	The INGRES Papers	1986	
books/aw/stonebraker86/Stonebraker86e	incollection	Extended Semantics for the Relational Model (Introduction to Section 5).	The INGRES Papers	1986	
books/aw/stonebraker86/Stonebraker86f	incollection	Database Design (Introduction to Section 6).	The INGRES Papers	1986	
books/aw/stonebraker86/X86	incollection	Title, Preface, Contents.	The INGRES Papers	1986	
books/aw/stonebraker86/X86a	incollection	References.	The INGRES Papers	1986	
books/aw/Knuth86a	book	TeX: The Program		1986	Addison-Wesley
books/aw/AbiteboulHV95	book	Foundations of Databases.		1995	Addison-Wesley
books/aw/Lamport86	book	LaTeX: User's Guide & Reference Manual		1986	Addison-Wesley
books/aw/AhoHU74	book	The Design and Analysis of Computer Algorithms.		1974	Addison-Wesley
books/aw/Lamport2002	book	Specifying Systems, The TLA+ Language and Tools for Hardware and Software Engineers		2002	Addison-Wesley
books/aw/AhoHU83	book	Data Structures and Algorithms.		1983	Addison-Wesley
books/aw/LewisBK01	book	Databases and Transaction Processing: An Application-Oriented Approach		2001	Addison-Wesley
books/aw/AhoKW88	book	The AWK Programming Language		1988	Addison-Wesley
books/aw/LindholmY97	book	The Java Virtual Machine Specification		1997	Addison-Wesley
books/aw/AhoSU86	book	Compilers: Princiles, Techniques, and Tools.		1986	Addison-Wesley
books/aw/Sedgewick83	book	Algorithms		1983	Addison-Wesley
books/aw/ArnoldG96	book	The Java Programming Language		1996	Addison-Wesley
books/aw/Sedgewick88	book	Algorithms, 2nd Edition		1988	Addison-Wesley
books/aw/ArnoldG99	book	The Java Programming Language, Second Edition		1999	Addison-Wesley
books/aw/SilberschatzG94	book	Operating System Concepts, 4th edition.		1994	Addison-Wesley
books/aw/ArnoldGH00	book	The Java Programming Language, Third Edition		2000	Addison-Wesley
books/aw/Knuth86	book	The TeXbook		1986	Addison-Wesley
books/aw/Baeza-YatesR99	book	Modern Information Retrieval		1999	ACM Press / Addison-Wesley
books/aw/Sowa84	book	Conceptual Structures: Information Processing in Mind and Machine		1984	Addison-Wesley
books/aw/BernsteinHG87	book	Concurrency Control and Recovery in Database Systems.		1987	Addison-Wesley
books/aw/Spinellis03	book	Code Reading: The Open Source Perspective		2003	Addison-Wesley
books/aw/BertinoCZ2001	book	Intelligent Database Systems		2001	Addison-Wesley
books/aw/Stein95	book	How to Set Up and Maintain a World Wide Web Site: The Guide for Information Providers.		1995	Addison-Wesley
books/aw/BertinoM93	book	Object-Oriented Database Systems		1993	Addison-Wesley
books/aw/Stevens92	book	Advanced Programming in the UNIX Environment		1992	Addison-Wesley
books/aw/Bratko90	book	PROLOG Programming for Artificial Intelligence, Second Edition		1990	Addison-Wesley
books/aw/Stevens94	book	TCP/IP Illustrated, Volume 1: The Protocols		1994	Addison-Wesley
books/aw/CastanoFMS95	book	Database Security.		1995	Addison-Wesley & ACM Press
books/aw/Stevens96	book	TCP/IP Illustrated, Volume 3: TCP for Transactions, HTTP, NNTP, and the UNIX Domain Protocolls		1996	Addison-Wesley
books/aw/Cattell91	book	Object Data Management: Object-Oriented and Extended Relational Database Systems		1991	Addison-Wesley
books/aw/Cattell94	book	Object Data Management: Object-Oriented and Extended Relational Database Systems (Revised Edition)		1994	Addison-Wesley
books/aw/Stroustrup86	book	The C++ Programming Language, First Edition		1986	Addison-Wesley
books/aw/CeriF97	book	Designing Database Applications with Objects and Rules: The IDEA Methodology		1997	Addison-Wesley
books/aw/Stroustrup91	book	The C++ Programming Language, Second Edition		1991	Addison-Wesley
books/aw/Chan99	book	The Java Developers Almanac 1999		1999	Addison-Wesley
books/aw/TanSK2005	book	Introduction to Data Mining		2005	Addison-Wesley
books/aw/ChanL97	book	The Java Class Libraries - An Annotated Reference		1997	Addison-Wesley
books/aw/Vossen90	book	Datenmodelle, Datenbanksprachen und Datenbank-Management-Systeme		1990	Addison-Wesley
books/aw/ChanL98	book	The Java Class Libraries, Second Edition, Volume 2		1998	Addison-Wesley
books/aw/Vossen94	book	Datenmodelle, Datenbanksprachen und Datenbank-Management-Systeme. 2. Auflage		1994	Addison-Wesley
books/aw/ChanLK98	book	The Java Class Libraries, Second Edition, Volume 1		1998	Addison-Wesley
books/aw/VossenW90	book	Das DB2-Handbuch.		1990	Addison-Wesley
books/aw/ChanLK99	book	The Java Class Libraries, Second Edition, Volume 1, Supplement for the Java 2 Platform Standard Edition, v1.2		1999	Addison-Wesley
books/aw/WeigendG94	book	Time Series Prediction: Forecasting the Future and Understanding the Past.		1994	Addison-Wesley
books/aw/Codd90	book	The Relational Model for Database Management, Version 2		1990	Addison-Wesley
books/aw/WilsonK00	book	Java Platform Performance - Strategies and Tactics		2000	Addison-Wesley
books/aw/Coplien92	book	Advanced C++: Programming Syles and Idioms		1992	Addison-Wesley
books/aw/Das92	book	Deductive Databases and Logic Programming		1992	Addison-Wesley
books/aw/Wolfe96	book	High performance compilers for parallel computing		1996	Addison-Wesley
books/aw/Date75	book	An Introduction to Database Systems		1975	Addison-Wesley
books/aw/WrightS95	book	TCP/IP Illustrated, Volume 2: The Implementation		1995	Addison-Wesley
books/aw/Date77	book	An Introduction to Database Systems, 2nd Edition		1977	Addison-Wesley
books/aw/Zipf49	book	Human Behaviour and the Principle of Least Effort: an Introduction to Human Ecology		1949	Addison-Wesley
books/aw/Date81	book	An Introduction to Database Systems, 3rd Edition		1981	Addison-Wesley
books/aw/Stonebraker86	book	The INGRES Papers: Anatomy of a Relational Database System		1986	Addison-Wesley
books/aw/Date83	book	An Introduction to Database Systems, Volume II.		1983	Addison-Wesley
books/aw/Date84	book	A Guide to DB2, 1st Edition		1984	Addison-Wesley
books/aw/Date86	book	An Introduction to Database Systems, Volume I, 4th Edition.		1986	Addison-Wesley
books/aw/Date90	book	An Introduction to Database Systems, Volume I, 5th Edition.		1990	Addison-Wesley
books/aw/Date95	book	An Introduction to Database Systems, 6th Edition.		1995	Addison-Wesley
books/aw/DateD92	book	Relational Database Writings 1989-1991		1992	Addison-Wesley
books/aw/DateD93	book	A Guide to SQL Standard, 3rd Edition		1993	Addison-Wesley
books/aw/DateD97	book	A Guide to SQL Standard, 4th Edition		1997	Addison-Wesley
books/aw/DateW88	book	A Guide to DB2, 2nd Edition		1988	Addison-Wesley
books/aw/DateW90	book	A Guide to DB2, 3rd Edition		1990	Addison-Wesley
books/aw/Denning82	book	Cryptography and Data Security		1982	Addison-Wesley
books/aw/EllisS90	book	The Annotated C++ Reference Manual.		1990	Addison-Wesley
books/aw/FieldH88	book	Functional Programming		1988	Addison-Wesley
books/aw/GardarinV89	book	Relational Databases and Knowledge Bases		1989	Addison-Wesley
books/aw/GazdarM89	book	Natural Language Processing in PROLOG		1989	Addison-Wesley
books/aw/Goldberg89	book	Genetic Algorithms in Search Optimization and Machine Learning		1989	Addison-Wesley
books/aw/GoldbergR83	book	Smalltalk-80: The Language and Its Implementation.		1983	Addison-Wesley
books/aw/GoslingJS96	book	The Java Language Specification.		1996	Addison-Wesley
books/aw/Hanson1995	book	A Retargetable C Compiler: Design and Implementation		1995	Addison Wesley
books/aw/Heuer92	book	Objektorientierte Datenbanken: Konzepte, Modelle, Systeme.		1992	Addison-Wesley
books/aw/Heuer97	book	Objektorientierte Datenbanken: Konzepte, Modelle, Systeme, 2. Auflage.		1997	Addison-Wesley
books/aw/HopcroftU79	book	Introduction to Automata Theory, Languages and Computation.		1979	Addison-Wesley
books/aw/JaJa92	book	An Introduction to Parallel Algorithms		1992	Addison-Wesley
books/aw/Jackson86	book	Introduction to Expert Systems, 1st Edition.		1986	Addison-Wesley
books/aw/Jackson90	book	Introduction to Expert Systems, 2nd Edition.		1990	Addison-Wesley
books/aw/Jackson99	book	Introduction to Expert Systems, 3rd Edition.		1999	Addison-Wesley
books/aw/KernighanP99	book	The Practice of Programming		1999	Addison-Wesley
books/aw/KimL89	book	Object-Oriented Concepts, Databases, and Applications.		1989	ACM Press and Addison-Wesley
books/aw/Knuth68	book	The Art of Computer Programming, Volume I: Fundamental Algorithms		1968	Addison-Wesley
books/aw/Knuth69	book	The Art of Computer Programming, Volume II: Seminumerical Algorithms		1969	Addison-Wesley
books/aw/Knuth73	book	The Art of Computer Programming, Volume III: Sorting and Searching		1973	Addison-Wesley
books/aw/Knuth73a	book	The Art of Computer Programming, Volume I: Fundamental Algorithms, 2nd Edition.		1973	Addison-Wesley
books/aw/Knuth81	book	The Art of Computer Programming, Volume II: Seminumerical Algorithms, 2nd Edition		1981	Addison-Wesley
books/aw/Lippman96	book	Inside the C++ Object Model		1996	Addison-Wesley
books/aw/Luenberger73	book	Introduction to Linear and Nonlinear Programming.		1973	Addison-Wesley
books/aw/MannilaR92	book	Design of Relational Databases		1992	Addison-Wesley
books/aw/Ousterhout94	book	Tcl and the Tk Toolkit		1994	Addison-Wesley
books/aw/PlasmeijerE93	book	Functional Programming and Parallel Graph Rewriting		1993	Addison-Wesley
books/aw/RabinovichS01	book	Web Caching and Replication		2001	Addison-Wesley
books/aw/Rahm94	book	Mehrrechner-Datenbanksysteme - Grundlagen der verteilten und parallelen Datenbankverarbeitung.		1994	Addison-Wesley
books/aw/Ross89	book	Advanced Prolog: Techniques and Examples		1989	Addison-Wesley
books/aw/Salton89	book	Automatic Text Processing: The Transformation, Analysis, and Retrieval of Information by Computer.		1989	Addison-Wesley
books/aw/Samet90	book	The Design and Analysis of Spatial Data Structures		1990	Addison-Wesley
books/bc/tanselCGSS93/BaudinetCW93	incollection	Temporal Deductive Databases.	Temporal Databases	1993	
books/bc/tanselCGSS93/CliffordC93	incollection	The Historical Relational Data Model (HRDM) Revisited.	Temporal Databases	1993	
books/bc/tanselCGSS93/CliffordCT93	incollection	On the Completeness of Query Languages for Grouped and Ungrouped Historical Data Models.	Temporal Databases	1993	
books/bc/tanselCGSS93/ElmasriWK93	incollection	A Temporal Model and Query Language for EER Databases.	Temporal Databases	1993	
books/bc/tanselCGSS93/ElmasriWK93a	incollection	The Time Index and the Monotonic B+-tree.	Temporal Databases	1993	
books/bc/tanselCGSS93/Gadia93	incollection	Ben-Zvi's Pioneering Work in Relational Temporal Databases.	Temporal Databases	1993	
books/bc/tanselCGSS93/GadiaN93	incollection	Temporal Databases: A Prelude to Parametric Data.	Temporal Databases	1993	
books/bc/tanselCGSS93/Ginsburg93	incollection	Object and Spreadsheet Histories.	Temporal Databases	1993	
books/bc/tanselCGSS93/JensenM93	incollection	Differential Query Processing in Transaction-Time Databases.	Temporal Databases	1993	
books/bc/tanselCGSS93/Kolovson93	incollection	Indexing Techniques for Historical Databases.	Temporal Databases	1993	
books/bc/tanselCGSS93/LeungM93	incollection	Stream Processing: Temporal Query Processing and Optimization.	Temporal Databases	1993	
books/bc/tanselCGSS93/LometS93	incollection	Transaction-Time Databases.	Temporal Databases	1993	
books/bc/tanselCGSS93/Lorentzos93	incollection	The Interval-extended Relational Model and Its Applications to Valid-time Databases.	Temporal Databases	1993	
books/bc/tanselCGSS93/MontanariP93	incollection	temporal Reasoning.	Temporal Databases	1993	
books/bc/tanselCGSS93/NavatheA93	incollection	Temporal Extensions to the Relational Model and SQL.	Temporal Databases	1993	
books/bc/tanselCGSS93/Sadra93	incollection	HSQL: A Historical Query Language.	Temporal Databases	1993	
books/bc/tanselCGSS93/Segev93	incollection	Join Processing and Optimization in Temporal Relational Databases.	Temporal Databases	1993	
books/bc/tanselCGSS93/SegevS93	incollection	A Temporal Data Model Based on Time Sequences.	Temporal Databases	1993	
books/bc/tanselCGSS93/Snodgrass93	incollection	An Overview of TQuel.	Temporal Databases	1993	
books/bc/tanselCGSS93/Tansel93	incollection	A Generalized relational Framework for Modeling Temporal Data.	Temporal Databases	1993	
books/bc/tanselCGSS93/Tuzhilin93	incollection	Applications of temporal Databases to Knowledge-based Simulations.	Temporal Databases	1993	
books/bc/tanselCGSS93/WiederholdJL93	incollection	Integrating Temporal Data in a Heterogeneous Environment.	Temporal Databases	1993	
books/bc/tanselCGSS93/WuuD93	incollection	A Uniform Model for Temporal and Versioned Object-oriented Databases.	Temporal Databases	1993	
books/bc/AtzeniA93	book	Relational Database Theory		1993	Benjamin/Cummings
books/bc/BatiniCN92	book	Conceptual Database Design: An Entity-Relationship Approach.		1992	Benjamin/Cummings
books/bc/Booch90	book	Object-Oriented Design with Applications		1990	Benjamin/Cummings
books/bc/ElmasriN89	book	Fundamentals of Database Systems		1989	Benjamin/Cummings
books/bc/ElmasriN94	book	Fundamentals of Database Systems, 2nd Edition.		1994	Benjamin/Cummings
books/bc/FischerL1991	book	Crafting a Compiler with C		1991	Benjamin/Cummings
books/bc/KumarGGK94	book	Introduction to Parallel Computing.		1994	Benjamin/Cummings
books/bc/MaierW88	book	Computing with Logic: Logic Programming with Prolog		1988	Benjamin/Cummings
books/bc/TanselCGJSS93	book	Temporal Databases: Theory, Design, and Implementation		1993	Benjamin/Cummings
books/bi/AlbertO1983	book	Automaten, Sprachen und Maschinen für Anwender		1983	Bibliographisches Institut
books/bi/Everling1990	book	Rechnerorganisation		1990	Bibliographisches Institut
books/bi/Everling1993	book	Rechnerorganisation, 2. Auflage		1993	Bibliographisches Institut
books/bi/Fellner1988	book	Computer-Grafik		1988	Bibliographisches Institut
books/bi/Fellner1992	book	Computer-Grafik, 2. Auflage		1992	Bibliographisches Institut
books/bi/Hertzberg1989	book	Planen: Einführung in die Planerstellungsmethoden der künstlichen Intelligenz		1989	Bibliographisches Institut
books/bi/Horster1985	book	Kryptologie		1985	Bibliographisches Institut
books/bi/KandziaK1993	book	Theoretische Grundlagen relationaler Datenbanksysteme		1993	Bibliographisches Institut
books/bi/Kauffels1987	book	Rechnernetzwerksystemarchitekturen und Datenkommunikation		1987	Bibliographisches Institut
books/bi/KeimP1992	book	Datenbankmaschinen: Performanz durch Parallelität		1992	Bibliographisches Institut
books/bi/Kelter1985	book	Parallele Transaktionen in Datenbanksystemen		1985	Bibliographisches Institut
books/bi/Maier1986	book	Syntaxanalyse, 3. Auflage		1986	Bibliographisches Institut
books/bi/Mock1990	book	C		1990	Bibliographisches Institut
books/bi/OttmannW1990	book	Algorithmen und Datenstrukturen		1990	Bibliographisches Institut
books/bi/OttmannW1993	book	Algorithmen und Datenstrukturen, 2. Auflage		1993	Bibliographisches Institut
books/bi/Schefe1986	book	Künstliche Intelligenz: Überblick und Grundlagen; grundlegende Konzepte und Methoden zur Realisierung von Systemen der künstlichen Intelligenz		1986	Bibliographisches Institut
books/bi/Schneider1993	book	Geo-Datenbanksysteme: Eine Speicher- und Zugriffsarchitektur		1993	Bibliographisches Institut
books/bi/Schoning1987	book	Logik für Informatiker		1987	Bibliographisches Institut
books/bi/Schoning1989	book	Logik für Informatiker, 2. Auflage		1989	Bibliographisches Institut
books/bi/Schoning1992	book	Logik für Informatiker, 3. Auflage		1992	Bibliographisches Institut
books/bi/Stetter1984	book	Softwaretechnologie: Eine Einführung, 3. Auflage		1984	Bibliographisches Institut
books/bi/Stetter1987	book	Softwaretechnologie: Eine Einführung, 4. Auflage		1987	Bibliographisches Institut
books/bi/WallerH1985	book	Mikroprozessoren: vom Bauteil zur Anwendung, 2. Auflage		1985	Bibliographisches Institut
books/bi/Wedekind1992	book	Objektorientierte Schemaentwicklung: Ein kategorialer Ansatz für Datenbanken und Programmierung		1992	Bibliographisches Institut
books/bi/WedekindH1974	book	Datenbanksysteme I		1974	Bibliographisches Institut
books/bi/WedekindH1976	book	Datenbanksysteme II		1976	Bibliographisches Institut
books/bi/WedekindH1981	book	Datenbanksysteme I, 2. Auflage		1981	Bibliographisches Institut
books/bi/WedekindH1991	book	Datenbanksysteme I, 3. Auflage		1991	Bibliographisches Institut
books/bi/Zima1982	book	Compilerbau I: Analyse		1982	Bibliographisches Institut
books/bi/Zima1983	book	Compilerbau II: Synthese und Optimierung		1983	Bibliographisches Institut
