Marie-Anne Neimat	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Tore Risch	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Ming-Chien Shan	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
W. Kevin Wilkinson	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Won Kim	books/aw/kimL89/KimBCGW89
Nat Ballou	books/aw/kimL89/KimBCGW89
Hong-Tai Chou	books/aw/kimL89/KimBCGW89
Jorge F. Garza	books/aw/kimL89/KimBCGW89
Darrell Woelk	books/aw/kimL89/KimBCGW89
Won Kim	books/aw/kimL89/KimKD89
Kyung-Chang Kim	books/aw/kimL89/KimKD89
Alfred G. Dale	books/aw/kimL89/KimKD89
Roger King	books/aw/kimL89/King89
David Maier	books/aw/kimL89/Maier89
Fred Mellender	books/aw/kimL89/MellenderRS89
Steve Riegel	books/aw/kimL89/MellenderRS89
Andrew Straw	books/aw/kimL89/MellenderRS89
David A. Moon	books/aw/kimL89/Moon89
J. Eliot B. Moss	books/aw/kimL89/Moss89
Oscar Nierstrasz	books/aw/kimL89/Nierstrasz89
Oscar Nierstrasz	books/aw/kimL89/NierstraszT89
Dennis Tsichritzis	books/aw/kimL89/NierstraszT89
David M. Russinoff	books/aw/kimL89/Russinoff89
Andrea H. Skarra	books/aw/kimL89/SkarraZ89
Stanley B. Zdonik	books/aw/kimL89/SkarraZ89
Lynn Andrea Stein	books/aw/kimL89/SteinLU89
Henry Lieberman	books/aw/kimL89/SteinLU89
David Ungar	books/aw/kimL89/SteinLU89
Mark A. Tarlton	books/aw/kimL89/TarltonT89
P. Nong Tarlton	books/aw/kimL89/TarltonT89
Chris Tomlinson	books/aw/kimL89/TomlinsonS89
Mark Scheevel	books/aw/kimL89/TomlinsonS89
Dennis Tsichritzis	books/aw/kimL89/TsichritzisN89
Oscar Nierstrasz	books/aw/kimL89/TsichritzisN89
Yair Wand	books/aw/kimL89/Wand89
Stephen P. Weiser	books/aw/kimL89/WeiserL89
Frederick H. Lochovsky	books/aw/kimL89/WeiserL89
Lawrence A. Rowe	books/aw/stonebraker86/RoweS86
Michael Stonebraker	books/aw/stonebraker86/RoweS86
Michael Stonebraker	books/aw/stonebraker86/Stonebraker86
Michael Stonebraker	books/aw/stonebraker86/Stonebraker86a
Michael Stonebraker	books/aw/stonebraker86/Stonebraker86b
Michael Stonebraker	books/aw/stonebraker86/Stonebraker86c
Michael Stonebraker	books/aw/stonebraker86/Stonebraker86d
Michael Stonebraker	books/aw/stonebraker86/Stonebraker86e
Michael Stonebraker	books/aw/stonebraker86/Stonebraker86f
Donald E. Knuth	books/aw/Knuth86a
